capped-square-antiprismatic,capped-square,tricapped-trigonal-prismatic
Avg: 0.511,Avg: 0.799,Avg: 0.537
StdDev: 0.062,StdDev: 0.063,StdDev: 0.059
0.545302364289115,0.7109928897074947,0.5356400198309924
0.545724495587103,0.7111118188480321,0.5356783805689599
0.5462793094130168,0.7112568503947535,0.5359503600045165
0.5469286519804214,0.7114482762912302,0.5364877163009165
0.5476421294414571,0.7117424160713617,0.5372934053557158
0.548384091825032,0.7122147100677872,0.5383146652122053
0.5491014753462586,0.7129153097721669,0.5394407216005074
0.5497192372608924,0.7138399112597791,0.540518973911367
0.5501800855356845,0.7149423282027441,0.5414234497407263
0.5504675236304094,0.7161599361656894,0.5420910300869578
0.5505830382506355,0.7174311658343131,0.5425029393741079
0.5505311993250861,0.7187007484520987,0.5426589252669693
0.550330535409581,0.7199568722011075,0.5425762668365235
0.5500173482340341,0.7212572772239326,0.5422897726805791
0.5496356372189428,0.722720061264036,0.5418409316037063
0.5492104920841069,0.7244480603896953,0.5412455667548275
0.5487517934036524,0.7264800838021287,0.5404938508491179
0.5482935762098096,0.7287918652043858,0.5395924918706204
0.5479280035664849,0.7313237615132921,0.5386158184858825
0.547766467472168,0.7340066403908663,0.5376933643239536
0.5478876700649122,0.7367661273027833,0.5369580415828549
0.548318689294835,0.7395402493596577,0.5365118022378049
0.5490538767406566,0.7423146358365077,0.536422270263545
0.5500650014916799,0.7451330837548822,0.5367288618062335
0.5512883367953212,0.7480587613799239,0.5374270242270578
0.5526170555977866,0.7511266455657726,0.538456864350671
0.5539349331269837,0.7543309040385198,0.5397264598181537
0.5551712144207291,0.7576224504354255,0.5411605412238071
0.5563172200960609,0.7609139704759125,0.5427222889997149
0.5573777131963739,0.7640852787027443,0.544380217716421
0.5583392906640505,0.7670174719000223,0.5460811081546904
0.5591772206866429,0.7696271965750224,0.5477554237750392
0.5598603332986484,0.7718966513841545,0.5493204634652799
0.5603525614335984,0.7738620715828302,0.5506869938777049
0.5606092224255915,0.7756057903981026,0.5517660829715553
0.5605904513243671,0.7772248549572249,0.5524813805646397
0.5602924964738731,0.7787925024559142,0.5527946602938787
0.5597689569807787,0.7803170004985192,0.5527159695126965
0.5591036099904603,0.7817404981937568,0.5522809897215336
0.5583733569850696,0.7829778192240856,0.5515275961972038
0.5576438675091782,0.7839842843717928,0.5505093894913106
0.556968622117682,0.7847714627280025,0.5492986513120022
0.5563826951275042,0.7853939917026809,0.5479770526852799
0.555902775292882,0.7859413477952631,0.5466263943246094
0.555512498329219,0.7865088511905974,0.5453024535705417
0.55519560140362,0.787172956371998,0.5440641214888007
0.5549404823842848,0.7879408175462718,0.5429572050252874
